item,itemLabel,startDate,endDate,sourceDate,psid
Q110915667,Irakli Managadze,1998-03,2005-03,,Q110915667-F9F95303-8719-4EA5-AEB5-EB9A01B8A1C7
Q4147140,Roman Gotsiridze,2005-03,2007-10,,Q4147140-306F652A-3214-4687-A1C4-573EF6960AB3
Q15055581,David Amaglobeli,2007-10,2009-02,,Q15055581-A51897A4-96EF-47E4-98B5-024A87335981
Q5563425,Giorgi Kadagidze,2009-02,2016-02,,Q5563425-09C1C419-0074-477A-8340-A8DF5CDB0209
Q25433264,Koba Gvenetadze,2016-03,,,Q25433264-469A298D-5CC8-4220-BA06-5A933E8E4C61
